Customer ID,Recency,Frequency,Monetary,total_number_of_purchases,Interpurchase_Interval_Std,Purchases_Last_30_Days,Purchases_Last_60_Days,Purchases_Last_90_Days,labels,predictions
14399.0,394,193,2113.16,8,8.536760605274267,0,0,0,40.0,38.38
15551.0,37,151,1710.08,7,30.48051345078875,0,1,1,86.0,107.25
13421.0,40,272,4103.12,8,19.132285151283362,0,1,1,89.0,91.87
13134.0,86,121,2475.23,6,17.672431806018533,0,0,1,66.0,78.14
15827.0,73,231,3794.07,28,10.144687096520574,0,0,1,23.0,25.27
12502.0,96,147,3723.87,5,9.466548518848205,0,0,0,54.0,46.63
14208.0,95,35,567.05,2,78.20335482498403,0,0,0,456.0,475.85
13819.0,302,101,2642.35,6,35.33796996450307,0,0,0,87.0,103.89
13854.0,9,181,12253.96,39,10.163535555941952,2,3,5,18.0,18.96
15527.0,19,331,5575.64,23,10.201029915116235,1,2,3,32.0,32.31
14305.0,71,105,1858.96,3,4.586637978544692,0,0,1,32.0,33.35
13811.0,184,13,814.5,3,14.669076936938405,0,0,0,28.0,43.32
17134.0,107,37,637.1,3,38.8694599992709,0,0,0,168.0,156.98
13948.0,361,24,548.76,4,52.291331970121846,0,0,0,125.0,110.27
16633.0,17,152,2883.1,6,8.18238564714394,1,2,3,43.0,35.12
12802.0,187,138,2416.42,7,22.635627199626718,0,0,0,63.0,84.43
16574.0,71,86,1301.78,3,45.59396982094905,0,0,1,294.0,228.69
13996.0,386,33,895.76,2,2.2980970388562794,0,0,0,13.0,12.61
15734.0,115,43,2263.3,4,41.49584729373356,0,0,0,144.0,141.42
13515.0,73,76,1265.82,6,34.238074796427526,0,0,1,114.0,107.84
18287.0,43,155,4182.99,7,21.51898800872816,0,2,2,88.0,88.15
14013.0,110,68,1084.57,5,35.69173637172061,0,0,0,128.0,119.88
13203.0,10,169,2648.25,10,19.72136874635077,1,2,2,79.0,66.02
15351.0,12,372,3738.29,10,15.272372306488514,1,4,6,47.0,68.63
13805.0,52,13,924.6,2,21.93931022920578,0,1,1,76.0,75.43
14904.0,2,144,1640.64,4,32.016371821482906,2,2,2,142.0,183.77
13080.0,179,19,280.73,4,62.71715217124091,0,0,0,143.0,125.73
15180.0,367,58,904.4300000000001,3,23.484090492622112,0,0,0,110.0,114.43
17015.0,29,217,1842.56,3,8.253916148286564,1,1,2,78.0,59.35
13439.0,255,167,986.61,3,14.776895022501314,0,0,0,135.0,95.25
12635.0,90,179,2930.41,4,18.97626203752074,0,0,1,122.0,111.51
12571.0,40,34,519.61,2,14.100290132411523,0,1,1,81.0,79.57
14725.0,25,105,1315.24,4,38.66699232863983,1,1,1,170.0,197.25
16802.0,679,53,582.61,2,7.072427501871671,0,0,0,51.0,46.89
13052.0,212,253,3168.53,7,15.790742424681808,0,0,0,74.0,83.81
15011.0,396,20,416.6,2,4.588314677411235,0,0,0,20.0,19.86
15028.0,8,119,1157.71,6,30.077374987944598,1,3,3,77.0,114.65
15606.0,61,145,5230.99,17,13.346626168059482,0,0,1,37.0,38.52
16224.0,57,116,1616.54,5,17.422632728653817,0,1,1,82.0,90.22
17380.0,434,10,645.0,3,23.33452377915607,0,0,0,50.0,52.51
15208.0,1,48,970.52,6,32.66759958896151,1,2,3,84.0,74.73
17096.0,15,217,3759.18,11,14.11248569064457,1,2,2,54.0,55.7
14170.0,375,165,597.33,3,1.0853864490713077,0,0,0,10.0,8.7
14082.0,365,65,413.36,2,3.3749999999999996,0,0,0,27.0,25.02
12974.0,198,32,408.95,2,65.9151458438264,0,0,0,367.0,373.64
15976.0,165,398,1746.6399999999999,6,10.736690880043492,0,0,0,77.0,78.41
15191.0,463,35,588.05,3,38.587181657064484,0,0,0,112.0,120.43
18270.0,38,17,444.55,3,68.23378928360934,0,1,1,197.0,217.65
13027.0,114,86,17335.2,19,16.547698647612997,0,0,0,32.0,34.38
14853.0,24,31,1376.87,5,54.6211613238662,1,1,1,145.0,135.8
14806.0,75,20,303.43,2,83.27791139501393,0,0,1,363.0,373.62
16917.0,277,51,1857.83,2,50.20458146424488,0,0,0,355.0,354.04
13296.0,137,53,792.51,6,40.75962350162188,0,0,0,88.0,116.21
15571.0,12,635,4051.63,14,14.245126181824826,2,3,4,55.0,51.95
17602.0,2,927,7451.13,14,8.618426554932302,2,3,4,47.0,47.21
12878.0,236,47,854.99,2,4.275816728492016,0,0,0,29.0,29.91
14762.0,264,30,417.57,2,67.22171242009277,0,0,0,362.0,357.82
13937.0,169,54,880.13,2,32.00501140004454,0,0,0,233.0,238.86
14735.0,4,366,12240.16,56,7.142584519861346,6,6,9,13.0,12.84
16017.0,47,131,1553.83,5,37.59142621642723,0,1,1,164.0,155.09
14610.0,396,10,24.35,2,39.33333333333333,0,0,0,118.0,126.9
16585.0,594,18,341.59,2,24.49609812866963,0,0,0,101.0,101.91
13920.0,432,86,1774.68,4,8.92376677448364,0,0,0,43.0,49.0
13516.0,21,61,1685.26,4,31.77900383501287,1,1,2,132.0,115.26
16503.0,107,213,3614.34,11,12.087554855469145,0,0,0,43.0,49.18
18021.0,510,33,227.06,2,0.35355339059327373,0,0,0,2.0,2.5
17562.0,14,63,1122.38,7,8.38175601829896,1,2,3,26.0,30.49
14532.0,236,318,3859.1800000000003,11,8.817108640805776,0,0,0,46.0,44.77
14352.0,157,47,1078.96,4,12.548129564024894,0,0,0,39.0,39.69
14147.0,78,30,2590.2,9,48.62237620664272,0,0,1,70.0,79.82
15482.0,16,149,14592.56,19,23.313418667792494,4,8,8,40.0,35.38
14441.0,1,154,4611.6900000000005,11,19.929500358015094,1,2,2,69.0,65.88
14504.0,47,107,673.26,4,19.051377549219666,0,1,1,77.0,97.53
15540.0,11,31,460.68,2,66.45700364396015,1,1,1,364.0,357.96
15219.0,176,26,685.45,2,94.4,0,0,0,472.0,439.32
12480.0,28,242,5464.85,7,13.42803290780773,1,1,1,80.0,70.71
16060.0,401,24,541.95,3,14.290741633753223,0,0,0,46.0,46.82
16470.0,52,483,2458.6,11,11.620409430777153,0,1,1,68.0,57.65
15671.0,19,78,2657.13,7,15.775477391972464,2,2,2,42.0,54.67
14648.0,416,455,4546.86,15,5.23896992969835,0,0,0,22.0,26.9
16081.0,56,399,4460.18,8,13.238061859153227,0,1,2,88.0,84.37
13771.0,64,216,5728.82,9,22.58061941051218,0,0,2,74.0,78.78
12439.0,683,72,1158.18,2,5.103161130233569,0,0,0,43.0,35.87
14408.0,11,129,4109.77,11,24.319472893363123,1,1,1,72.0,65.53
13994.0,4,155,2313.14,6,5.373563098650686,1,2,4,29.0,26.43
12389.0,403,49,1433.33,3,26.624656625495327,0,0,0,126.0,125.23
13742.0,17,321,3131.02,12,6.75882970615958,1,1,2,28.0,30.78
12627.0,11,230,4478.53,7,4.396254229748958,1,1,2,22.0,30.7
17594.0,85,104,2497.88,4,29.308519911880406,0,0,1,173.0,136.59
13875.0,54,270,4814.37,14,12.08382428286794,0,1,1,51.0,49.01
13316.0,37,175,13191.57,10,19.144537638031256,0,1,2,67.0,66.89
15210.0,225,67,1176.19,3,30.376997953418712,0,0,0,175.0,161.94
16620.0,4,94,1758.93,6,36.399608652448805,1,1,1,147.0,125.84
17682.0,10,238,4456.78,11,13.859759531728418,1,1,1,63.0,56.42
15444.0,9,219,1418.26,2,2.0995849305836485,1,2,2,31.0,19.06
14987.0,16,17,1713.85,8,114.61658911344378,1,1,1,103.0,87.25
18174.0,7,2,162.5,2,,1,1,1,596.0,176.91
12593.0,109,21,418.09999999999997,3,20.205522955240156,0,0,0,55.0,58.03
17454.0,192,126,1547.94,10,15.383791218619178,0,0,0,56.0,54.38
13189.0,19,29,260.68,2,18.14229470444291,1,1,1,96.0,99.04
14819.0,64,57,470.16,4,52.10389221944542,0,0,1,218.0,182.63
15906.0,20,203,2555.64,10,12.406141391242347,2,2,3,48.0,48.51
13964.0,387,24,438.9,2,8.966119804454214,0,0,0,43.0,56.08
15212.0,241,10,208.28,2,45.0,0,0,0,135.0,140.83
14902.0,26,59,1035.6200000000001,3,52.442210293309245,1,1,1,264.0,240.83
16612.0,33,167,3245.43,9,20.905297685991112,0,1,1,88.0,77.51
14326.0,242,57,940.98,3,30.777859304646636,0,0,0,145.0,138.75
14784.0,26,27,449.93,3,59.12490039022345,1,1,1,182.0,209.33
12572.0,9,60,1020.42,2,5.598123172175427,1,2,2,43.0,41.85
16799.0,432,106,495.98,2,2.0493901531919203,0,0,0,21.0,18.73
16586.0,249,28,1462.78,3,51.379128202168,0,0,0,193.0,177.44
15813.0,208,40,1303.9099999999999,2,4.963972767957701,0,0,0,31.0,30.44
12357.0,33,296,18287.66,3,20.66889909575516,0,1,1,178.0,187.82
12810.0,535,32,534.99,2,25.503952887802033,0,0,0,142.0,141.35
15577.0,151,60,397.98,5,57.54220365641613,0,0,0,144.0,128.36
15695.0,267,59,1131.04,4,44.49485583758261,0,0,0,138.0,147.49
12605.0,376,76,1232.95,4,5.913246695892748,0,0,0,27.0,26.62
17588.0,100,71,2939.55,7,27.323701782317617,0,0,0,90.0,71.4
16549.0,10,3250,13182.19,34,4.046400711987295,4,7,8,18.0,17.93
15752.0,40,610,4207.54,9,6.734743911953043,0,1,1,52.0,40.1
16904.0,4,982,5132.37,21,3.6903540052209483,2,2,2,20.0,23.02
13462.0,253,71,1153.85,5,33.37476514134842,0,0,0,118.0,118.37
14367.0,8,524,9261.52,16,3.71770886938796,2,4,6,18.0,18.99
13066.0,24,48,470.8,2,1.021054940485262,1,2,2,7.0,3.44
12646.0,5,45,1346.97,2,6.633249580710799,1,2,2,44.0,41.44
12885.0,63,71,1175.22,3,7.171371656006362,0,0,2,30.0,41.48
14868.0,3,211,4184.01,12,12.425412922984721,2,3,4,38.0,47.37
18066.0,75,53,1440.4,3,43.22648533816738,0,0,1,170.0,212.62
15712.0,9,166,3472.4100000000003,12,18.331496246061427,1,1,2,66.0,58.72
14132.0,2,200,3586.0299999999997,11,4.165495495521753,3,5,6,18.0,18.4
16201.0,3,124,2112.12,5,28.141814949179807,2,3,3,103.0,148.97
17459.0,43,111,657.3,2,1.5255401427929476,0,2,2,16.0,13.62
17095.0,23,137,2572.25,7,29.584913425536907,1,1,1,117.0,103.87
13452.0,259,3,729.8,3,135.0573952066306,0,0,0,106.0,144.96
16011.0,8,455,5880.46,29,7.579839266040222,2,3,4,26.0,26.21
16880.0,31,187,1840.86,8,23.017779918704896,0,1,1,66.0,90.54
13799.0,117,106,2803.57,9,23.752123483246073,0,0,0,66.0,72.45
13808.0,6,76,1747.66,5,5.919946432677053,1,2,3,23.0,26.0
15883.0,2,49,396.48,2,4.474464586219599,1,2,2,31.0,31.64
12785.0,364,56,1100.4,3,34.64915058646657,0,0,0,183.0,165.02
17340.0,30,777,22404.82,18,6.629785231175023,1,1,4,37.0,35.31
13505.0,73,215,4393.63,4,7.106614585419178,0,0,1,53.0,52.68
14032.0,2,244,4850.2699999999995,16,17.269414099316553,3,4,5,48.0,43.75
15949.0,17,19,364.72,2,12.727922061357855,1,1,2,54.0,48.46
12816.0,96,29,572.2,2,15.11857892036909,0,0,0,80.0,77.05
13334.0,82,480,6263.75,5,13.747762348586326,0,0,1,142.0,116.83
18030.0,4,9,230.64999999999998,2,13.435028842544403,1,2,2,38.0,41.63
14474.0,46,132,1278.08,2,46.56842622003333,0,1,1,533.0,509.48
12370.0,51,202,4320.31,7,25.136244668205734,0,1,1,103.0,103.55
16563.0,54,90,4422.76,6,40.69228869885008,0,1,1,137.0,117.76
17935.0,138,64,686.14,7,43.04338182455009,0,0,0,99.0,98.34
14236.0,81,50,1744.64,5,42.619290369087864,0,0,1,106.0,133.25
17894.0,72,422,2453.38,18,9.753682247485367,0,0,1,23.0,37.25
14997.0,46,38,776.5999999999999,4,79.43776720715945,0,1,2,203.0,192.35
18189.0,78,86,1403.73,3,43.64751862767162,0,0,1,274.0,224.93
13158.0,95,100,1508.18,5,18.159932199692353,0,0,0,73.0,75.64
15440.0,55,62,383.68,3,13.76059949132507,0,1,1,77.0,67.31
12862.0,426,133,1008.3199999999999,2,6.005679130471576,0,0,0,69.0,43.33
16009.0,22,90,992.71,4,12.370287146457104,1,3,3,46.0,59.28
12438.0,14,98,2906.85,2,12.691827064170239,1,1,1,125.0,128.95
15637.0,53,41,797.59,5,62.67692905605249,0,1,1,168.0,151.46
17726.0,395,64,1092.06,7,19.963561275530058,0,0,0,48.0,56.13
12739.0,78,89,2726.73,4,30.5391384286879,0,0,1,105.0,135.77
14150.0,36,26,658.64,2,64.8,0,1,1,324.0,345.25
17966.0,38,114,1974.42,10,34.101353914641436,0,1,1,72.0,70.21
13525.0,15,6,628.78,2,104.20076775149019,1,1,1,233.0,296.86
15505.0,53,97,3610.96,5,5.312091057531748,0,1,2,26.0,29.56
15365.0,26,218,4557.13,13,21.382622551790824,3,3,5,54.0,55.51
17038.0,30,63,743.17,2,48.76804876807315,1,1,1,384.0,368.32
15531.0,8,228,2007.44,2,1.4601912855199384,2,2,2,22.0,15.65
16655.0,18,610,6548.37,13,8.787857471658443,2,2,3,55.0,52.29
13510.0,1,289,4558.29,11,16.089873755143206,1,2,2,72.0,69.29
17550.0,197,334,2547.64,9,11.93411335692069,0,0,0,59.0,65.06
12615.0,2,270,5740.98,8,18.76698771773346,1,2,3,90.0,87.57
15378.0,463,12,246.5,2,11.758942438532781,0,0,0,39.0,41.82
17706.0,4,765,20749.98,31,7.695328697067451,1,3,5,23.0,26.01
16430.0,57,28,1117.94,7,70.0392645271106,0,1,1,104.0,99.13
14234.0,22,159,775.46,4,1.6457759779814747,2,4,4,12.0,13.72
16624.0,81,48,810.5699999999999,2,16.92033901375577,0,0,1,116.0,117.99
17221.0,7,126,978.52,5,49.69042615648313,1,2,2,150.0,170.99
12831.0,262,22,451.11,3,43.64357804719848,0,0,0,100.0,133.61
14358.0,389,25,400.06,2,7.756717518813396,0,0,0,38.0,36.79
16086.0,59,137,2864.9900000000002,10,21.329431832783737,0,1,1,75.0,61.44
12363.0,110,23,552.0,2,28.142494558940577,0,0,0,132.0,127.79
13404.0,1,11,252.49,2,66.7240586295528,1,1,1,211.0,289.85
18101.0,11,112,629.16,5,36.72412815658922,1,1,1,166.0,153.93
14403.0,130,25,1880.51,6,70.80955270034679,0,0,0,102.0,113.28
14052.0,20,125,480.81,2,33.31678352596673,1,1,1,371.0,353.85
16560.0,27,199,3048.38,8,27.52157353224587,1,1,1,101.0,98.39
14499.0,26,319,2138.9700000000003,7,11.826185319315492,1,1,1,74.0,73.4
18079.0,45,140,4242.75,5,24.222362915002986,0,2,2,112.0,133.72
15960.0,374,26,410.95,4,8.37098162304358,0,0,0,20.0,26.96
17525.0,360,26,1161.9,3,9.605900964164336,0,0,0,34.0,29.79
14776.0,51,190,3708.3,15,10.11906768379122,0,3,3,28.0,38.96
13922.0,352,30,865.2,3,16.54967146549331,0,0,0,58.0,56.01
18035.0,36,61,1276.74,5,44.145941198413546,0,3,3,87.0,141.44
16851.0,4,20,342.45,3,8.846646703397669,1,3,3,24.0,34.86
16034.0,196,57,928.72,6,18.434862512211904,0,0,0,43.0,58.81
14248.0,318,47,1032.95,3,22.14641659763363,0,0,0,98.0,103.57
16675.0,442,23,608.86,2,7.675225788801975,0,0,0,36.0,34.48
12788.0,463,26,444.9,4,8.256714439371954,0,0,0,22.0,28.25
15402.0,149,131,1830.54,6,20.016034121272565,0,0,0,89.0,84.33
13441.0,92,38,720.9,2,55.73125669651613,0,0,0,339.0,346.63
15134.0,15,85,1596.29,10,18.32358396172878,1,3,4,45.0,55.33
14715.0,25,138,1840.45,8,24.27615912997579,1,1,1,95.0,85.51
14214.0,31,67,1004.38,5,18.448068609782307,0,2,2,62.0,68.67
16362.0,32,94,946.94,6,36.05651763229661,0,2,2,81.0,119.83
13744.0,95,72,1156.36,2,23.37959866641891,0,0,0,197.0,183.82
16422.0,17,712,63651.47,109,2.821197077241174,3,7,12,6.0,7.42
14233.0,49,73,2904.27,7,31.67983417860208,0,1,1,99.0,91.46
12693.0,127,79,1703.02,7,17.843456626700565,0,0,0,66.0,65.3
18246.0,24,5,758.8199999999999,3,182.11786476528508,1,1,1,293.0,271.23
13207.0,15,13,535.86,4,97.3853249476096,1,1,1,199.0,215.59
16558.0,1,780,13873.51,38,5.512339903566379,2,4,6,20.0,18.16
13070.0,192,33,751.7,4,56.589700063048625,0,0,0,180.0,148.12
12919.0,8,50,1335.19,6,13.133180961856528,2,3,3,32.0,37.61
17705.0,3,120,2083.9,11,20.007810752257086,2,2,3,57.0,59.53
17278.0,241,17,271.24,2,80.75,0,0,0,323.0,327.42
16510.0,372,131,2100.0,6,14.719569035199083,0,0,0,64.0,59.12
13856.0,169,54,1142.03,11,36.10472993871787,0,0,0,45.0,65.09
12623.0,276,174,3747.84,7,14.215131694144299,0,0,0,70.0,62.06
15122.0,114,228,4497.47,11,13.033966894618809,0,0,0,50.0,50.57
14075.0,5,81,1734.87,6,32.63644920109564,2,2,2,107.0,113.34
15447.0,331,29,492.88,5,38.999983041646026,0,0,0,74.0,85.16
16643.0,246,55,923.11,2,23.950566373879965,0,0,0,176.0,167.76
13492.0,136,50,1269.84,3,8.175165645620483,0,0,0,39.0,38.62
15094.0,463,5,83.0,2,90.5,0,0,0,181.0,195.58
17739.0,12,149,7730.59,18,17.95625391348725,1,2,4,42.0,39.73
13813.0,40,143,2765.47,8,34.55127321057042,0,1,3,99.0,94.23
15106.0,18,100,1422.52,5,12.518038931929341,1,1,2,63.0,54.38
14910.0,3,30,434.35,4,5.853296826903822,2,4,4,17.0,17.55
18048.0,203,61,401.73,3,37.43883901333836,0,0,0,145.0,180.75
12653.0,149,86,4160.83,3,29.446661650396656,0,0,0,189.0,175.09
13330.0,93,118,2806.18,6,23.156342119845977,0,0,0,112.0,94.3
12942.0,131,91,942.65,3,18.953402350875088,0,0,0,117.0,109.18
12538.0,29,34,640.45,2,60.75310192853855,1,1,1,349.0,341.95
15050.0,25,156,4193.79,5,28.611620034619612,1,1,3,114.0,151.58
17998.0,380,58,639.24,3,47.285805147222064,0,0,0,179.0,189.73
17182.0,423,6,321.3,2,131.9280106724876,0,0,0,295.0,222.72
16428.0,414,136,660.28,3,7.229568912920512,0,0,0,42.0,50.88
16650.0,72,98,1916.11,7,35.713803077249416,0,0,1,74.0,104.68
18125.0,30,196,1142.99,4,14.03538634259436,1,1,1,95.0,85.36
13384.0,31,264,6680.83,11,14.38389309527979,0,2,5,47.0,57.24
17289.0,32,279,2079.39,9,16.714675376983877,0,2,2,76.0,77.77
13277.0,16,23,523.3,7,57.53209155281561,2,2,2,87.0,98.53
18258.0,464,50,2059.67,6,7.426510703182874,0,0,0,22.0,26.34
12981.0,30,20,372.21999999999997,2,23.629820588667858,1,1,1,103.0,99.23
13782.0,13,244,1793.72,13,15.106125052911683,1,2,3,60.0,54.12
15887.0,407,37,1027.15,3,17.908940748412753,0,0,0,74.0,75.68
14014.0,77,76,1948.21,3,41.18141800848035,0,0,1,250.0,221.97
17449.0,2,598,4951.15,13,10.41994308415316,1,3,3,61.0,58.47
17584.0,7,124,5309.42,6,34.27668658873839,1,1,1,135.0,126.85
17342.0,380,35,1227.54,4,33.46299203608563,0,0,0,97.0,91.18
16456.0,99,415,6862.91,13,9.405174708421205,0,0,0,43.0,48.76
14947.0,72,54,1049.79,6,41.45350797770286,0,0,1,110.0,122.46
17723.0,127,12,3378.4000000000005,7,46.975041729141076,0,0,0,41.0,94.13
13406.0,427,9,568.92,2,72.12489168102785,0,0,0,204.0,234.36
16778.0,74,16,245.94,2,51.381579059685066,0,0,1,199.0,174.61
17396.0,39,50,8807.1,14,34.08239565930704,0,1,2,31.0,45.66
17880.0,365,45,824.9200000000001,3,43.17749394171319,0,0,0,182.0,170.44
16618.0,31,96,2647.59,5,19.95439930220296,0,1,1,73.0,85.59
16232.0,44,105,2712.97,7,24.60290873044296,0,1,1,84.0,84.93
18145.0,13,405,5617.79,11,12.635632479875081,1,1,2,72.0,62.52
15424.0,254,33,597.78,3,36.76955262170047,0,0,0,104.0,128.55
12540.0,20,771,22254.49,33,5.284726417250602,1,3,6,22.0,21.4
14944.0,30,303,9784.67,19,12.046593974782198,3,3,5,35.0,37.63
16105.0,249,110,2386.19,5,20.159502438455394,0,0,0,89.0,90.89
16012.0,35,241,2989.79,5,18.88218214746194,0,1,1,124.0,127.81
15393.0,16,44,891.34,5,61.03439293307298,1,1,1,177.0,153.28
14628.0,91,86,1998.0,5,34.432249881946035,0,0,0,148.0,131.58
14758.0,145,136,2864.97,7,18.330115803894696,0,0,0,78.0,74.67
13360.0,432,66,1553.65,4,27.277579550866424,0,0,0,90.0,98.25
15715.0,556,38,658.02,5,7.4939414969133,0,0,0,16.0,23.2
12388.0,16,146,3901.11,8,19.761601180725556,1,1,2,81.0,73.95
14615.0,394,48,951.76,5,12.217615162502844,0,0,0,38.0,37.22
17228.0,16,358,3177.24,13,11.294711156561569,2,2,4,52.0,51.53
15953.0,15,186,3669.5499999999997,18,16.92090711316373,2,3,4,42.0,38.94
